,1. open,2. high,3. low,5. adjusted close,6. volume,Daily Return
1999-11-01,80.0,80.69,77.37,0.59687877,2487300,
1999-11-02,78.0,81.69,77.31,0.6171028,3564600,0.033882976
1999-11-03,81.62,83.25,81.0,0.626715,2932700,0.015576363
1999-11-04,82.06,85.37,80.62,0.6430173,3384700,0.026012301
1999-11-05,84.62,88.37,84.0,0.6790822,3721500,0.056087017
1999-11-08,87.75,97.73,86.75,0.7410616,8490400,0.091269374
1999-11-09,94.37,94.5,88.0,0.6891558,7224800,-0.07004249
1999-11-10,88.25,93.25,88.12,0.70315117,5159800,0.020308018
1999-11-11,91.59,92.62,89.87,0.70937985,2409600,0.008858204
1999-11-12,91.94,92.0,87.37,0.69684553,2491600,-0.01766938
1999-11-15,89.62,92.87,88.5,0.6877716,2320600,-0.0130214095
1999-11-16,90.0,91.75,88.5,0.70122874,2088000,0.019566298
1999-11-17,90.69,94.75,90.0,0.69400036,3255100,-0.0103081465
1999-11-18,91.06,91.12,88.44,0.6891558,3257000,-0.006980598
1999-11-19,89.5,92.87,88.06,0.7108409,2790300,0.031466126
1999-11-22,91.75,91.75,89.25,0.69684553,1806800,-0.019688427
1999-11-23,91.75,95.25,88.5,0.7136861,4851000,0.024166822
1999-11-24,93.0,95.0,91.69,0.72814286,1920600,0.0202564
1999-11-26,94.75,95.5,94.12,0.7309881,1179200,0.0039075613
1999-11-29,94.25,99.75,93.25,0.72714317,4144300,-0.0052598715
1999-11-30,98.12,103.75,97.37,0.75259626,7528400,0.03500426
1999-12-01,101.0,104.5,100.06,0.7925061,5522900,0.053029537
1999-12-02,103.12,110.62,101.75,0.847334,5065700,0.06918299
1999-12-03,112.19,115.56,111.87,0.88432175,5785000,0.04365182
1999-12-06,114.56,117.31,111.44,0.8920115,4167700,0.008695722
1999-12-07,116.56,118.0,114.0,0.90593,3973400,0.015603423
1999-12-08,116.25,117.87,109.5,0.8463344,3681700,-0.06578386
1999-12-09,111.0,111.0,100.87,0.8093467,7635700,-0.043703437
1999-12-10,105.31,109.25,99.0,0.7920447,5694300,-0.021377683
1999-12-13,102.39,102.5,98.94,0.7612857,4731800,-0.03883493
1999-12-14,98.37,99.75,94.75,0.729527,3891700,-0.04171723
1999-12-15,93.25,97.25,91.06,0.7459062,5562300,0.022451758
1999-12-16,98.0,98.37,94.0,0.7559798,4141300,0.01350522
1999-12-17,100.87,102.0,98.5,0.76897544,4419700,0.017190456
1999-12-20,99.56,99.62,96.62,0.75359595,2535600,-0.01999998
1999-12-21,98.19,103.06,97.94,0.78819984,2746400,0.045918345
1999-12-22,102.87,104.56,98.75,0.76851404,2920300,-0.024975657
1999-12-23,101.81,104.25,101.06,0.7958896,2049400,0.035621405
1999-12-27,104.37,104.44,99.25,0.7636695,1503500,-0.040483177
1999-12-28,99.12,99.62,95.0,0.755057,2210500,-0.011277795
1999-12-29,96.81,102.19,95.5,0.7742814,2540200,0.02546084
1999-12-30,102.19,104.12,99.62,0.77135926,1849500,-0.0037739873
1999-12-31,100.94,102.87,99.5,0.79058367,1462600,0.024922729
2000-01-03,104.87,112.5,101.69,0.8607911,4783900,0.08880448
2000-01-04,108.25,110.62,101.19,0.78819984,4574800,-0.08433086
2000-01-05,103.75,110.56,103.0,0.7997345,6949300,0.014634132
2000-01-06,106.12,107.0,95.0,0.7305267,6856900,-0.086538434
2000-01-07,96.5,101.0,95.5,0.7651306,4113700,0.047368407
2000-01-10,102.0,102.25,94.75,0.7516735,4509500,-0.0175879
2000-01-11,95.94,99.37,90.5,0.7132247,3942400,-0.051150918
2000-01-12,95.0,95.5,86.5,0.6704697,8714900,-0.05994606
2000-01-13,94.48,98.75,92.5,0.74398375,9220400,0.109645605
2000-01-14,100.0,102.25,99.37,0.77235895,3485500,0.03813958
2000-01-18,101.0,106.0,100.44,0.7992731,4099800,0.034846663
2000-01-19,105.62,108.75,103.37,0.8194202,5336100,0.025206804
2000-01-20,115.5,121.5,113.5,0.8727871,16349400,0.06512761
2000-01-21,114.25,114.25,110.19,0.8559466,4427900,-0.019295096
2000-01-24,108.44,112.75,105.12,0.8170364,3936400,-0.045458674
2000-01-25,105.0,113.12,102.37,0.8631749,4438800,0.056470633
2000-01-26,110.0,114.19,109.75,0.847334,3278200,-0.018351912
2000-01-27,108.81,113.0,107.0,0.845873,3037000,-0.0017242432
2000-01-28,108.19,110.87,100.62,0.78143287,3779900,-0.07618183
2000-01-31,101.0,103.87,94.5,0.79781204,6265000,0.02096045
2000-02-01,104.0,105.0,100.0,0.77089787,2839600,-0.033734977
2000-02-02,100.75,102.12,97.0,0.75982463,4144600,-0.014364064
2000-02-03,100.31,104.25,100.25,0.7944285,4242800,0.045542
2000-02-04,103.94,110.0,103.62,0.8304935,3797500,0.0453974
2000-02-07,108.0,114.25,105.94,0.8770934,3938100,0.056111097
2000-02-08,114.0,116.12,111.25,0.8833221,3648600,0.007101536
2000-02-09,114.12,117.12,112.44,0.86602014,2672900,-0.019587398
2000-02-10,112.87,113.87,110.0,0.8727871,2705200,0.0078139305
2000-02-11,113.62,114.12,108.25,0.8362608,1895100,-0.04185021
2000-02-14,109.31,115.87,108.62,0.8905505,3281600,0.06491959
2000-02-15,115.25,119.94,115.19,0.9150808,4337000,0.027545094
2000-02-16,117.75,118.12,112.12,0.8775548,3377200,-0.041008413
2000-02-17,115.19,115.5,113.12,0.8833221,2584800,0.006572008
2000-02-18,114.62,115.37,110.87,0.8554852,2084300,-0.03151387
2000-02-22,110.12,116.94,106.69,0.87517095,3770500,0.023011208
2000-02-23,113.23,119.0,111.0,0.89393395,4224100,0.021439195
2000-02-24,117.31,119.12,111.75,0.8858597,3361000,-0.009032249
2000-02-25,114.81,117.0,110.12,0.8487182,2224500,-0.04192704
2000-02-28,110.12,115.0,108.37,0.8708647,2931500,0.02609396
2000-02-29,113.56,117.25,112.56,0.88139963,3294300,0.01209712
2000-03-01,118.56,132.06,118.5,1.002052,9616100,0.1368872
2000-03-02,127.0,127.94,120.69,0.93815005,2779100,-0.06377107
2000-03-03,124.87,128.23,120.0,0.9842886,2887200,0.04918027
2000-03-06,126.0,129.13,125.0,0.96652526,1880000,-0.018046856
2000-03-07,126.44,127.44,121.12,0.94484013,2437600,-0.022436142
2000-03-08,122.87,123.94,118.56,0.93815005,2421700,-0.007080674
2000-03-09,120.87,125.0,118.25,0.9400725,2470700,0.0020492077
2000-03-10,121.69,127.94,121.0,0.9669866,2219700,0.02862978
2000-03-13,122.12,126.5,119.5,0.9328441,2713900,-0.035308123
2000-03-14,121.22,124.25,114.0,0.87855446,3826600,-0.058197975
2000-03-15,115.62,120.25,114.12,0.89393395,3960800,0.017505407
2000-03-16,117.31,122.0,114.5,0.93476653,3375900,0.045677423
2000-03-17,120.12,125.0,119.62,0.9612193,2723600,0.028298855
2000-03-20,123.5,126.25,122.37,0.9458398,1825800,-0.015999973
2000-03-21,122.56,136.75,121.62,1.0376555,4681500,0.0970732
2000-03-22,132.78,144.38,131.56,1.1087857,5071400,0.06854904
2000-03-23,142.0,150.38,140.0,1.0866392,5022900,-0.019973755
2000-03-24,142.44,143.94,135.5,1.0664921,3990300,-0.01854074
2000-03-27,137.63,144.75,136.88,1.0731821,2492700,0.006272912
2000-03-28,137.25,142.0,137.13,1.0698756,1812200,-0.0030810237
2000-03-29,139.38,139.44,133.83,1.0453452,2141400,-0.022928298
2000-03-30,133.56,137.69,125.44,0.9669866,3700000,-0.07495952
2000-03-31,127.44,137.25,126.0,1.0443455,3612800,0.07999992
2000-04-03,135.5,139.5,129.44,1.0251212,2933600,-0.018408
2000-04-04,132.63,133.0,116.75,0.9789826,5895800,-0.045007944
2000-04-05,126.47,132.88,124.0,1.0025902,4086300,0.02411437
2000-04-06,130.63,134.5,123.25,0.96268034,2318100,-0.039806724
2000-04-07,127.25,131.88,125.5,1.0131252,2164600,0.05240035
2000-04-10,131.69,132.75,124.75,0.9612193,1895200,-0.05123341
2000-04-11,123.5,124.87,118.06,0.9184643,4837700,-0.044479966
2000-04-12,119.0,119.0,104.87,0.84010565,8403000,-0.08531487
2000-04-13,111.5,120.0,108.5,0.87517095,4730600,0.041739106
2000-04-14,109.31,118.0,109.0,0.86025286,5960900,-0.017045915
2000-04-17,109.5,123.94,109.06,0.9525299,3656800,0.10726738
2000-04-18,123.5,126.87,119.37,0.97559917,3490400,0.024218917
2000-04-19,126.19,130.25,119.75,0.9313831,4644200,-0.045322
2000-04-20,123.69,124.75,117.06,0.9140811,6447500,-0.018576622
2000-04-24,115.0,120.5,114.75,0.9266154,3960900,0.013712525
2000-04-25,122.12,128.75,122.06,0.9866724,3496800,0.064813256
2000-04-26,126.62,128.0,120.0,0.9328441,3276000,-0.054555416
2000-04-27,117.19,127.0,116.58,0.9746764,2916100,0.044843793
